prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_96,0.9872688055038452,0.9834651350975037,0.9878133535385132,0.9868389368057251,0.989666610956192,0.9870961308479309,0.9794535636901855,0.9903447031974792,0.9882003962993622,0.9905328452587128,0.9693109393119812,0.9904918670654297,0.9893966019153595,0.9819362759590149,0.9846154153347015,0.9812270402908325,0.9867452085018158,0.9865708649158478,0.9808786511421204,0.9882879257202148
prompt_78,0.984111875295639,0.9651343822479248,0.0,0.9400924444198608,0.9948646426200867,0.9897676706314087,0.9682848453521729,0.9777253568172455,0.9560193419456482,0.9875072240829468,0.0,0.9808313846588135,0.9837521016597748,0.983240395784378,0.9850325584411621,0.9732213914394379,0.9526804387569427,0.9768718779087067,0.0,0.9960927069187164
prompt_72,0.0,0.9882934093475342,0.0,0.9984273314476013,0.9944982528686523,0.8129351735115051,0.987789124250412,0.9984272420406342,0.9974073767662048,0.9705796539783478,0.0,0.9761625826358795,0.9955846071243286,0.9975043535232544,0.9947164058685303,0.994579553604126,0.0,0.9841498136520386,0.9803594350814819,0.9924435615539551
prompt_24,0.9523414373397827,0.9292812347412109,0.0,0.0,0.9469059109687805,0.0,0.0,0.930385172367096,0.9468325972557068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9561744332313538,0.0,0.9475346803665161
prompt_53,0.981030136346817,0.9725821614265442,0.0,0.9739484488964081,0.9837944507598877,0.9781446754932404,0.9722202718257904,0.9787274897098541,0.9725879430770874,0.9760805666446686,0.0,0.9726486802101135,0.9828346073627472,0.967041552066803,0.9717080295085907,0.9662413895130157,0.9784809648990631,0.9831483662128448,0.0,0.9697138965129852
prompt_59,0.9859915673732758,0.9859373569488525,0.0,0.9943229854106903,0.9958738088607788,0.9941142201423645,0.9960756599903107,0.9887420237064362,0.9972996413707733,0.9964660108089447,0.0,0.9981492459774017,0.9893783330917358,0.9865373969078064,0.9759256839752197,0.9951133728027344,0.9902394115924835,0.9963529407978058,0.0,0.9962515830993652
prompt_61,0.9918321371078491,0.6917462348937988,0.0,0.9228096604347229,0.9937049746513367,0.9904583692550659,0.9950270354747772,0.0,0.0,0.9969394207000732,0.0,0.9967268705368042,0.9943711757659912,0.9766007661819458,0.9907522797584534,0.9962670207023621,0.9906195402145386,0.0,0.0,0.9969896078109741
prompt_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_85,0.0,0.0,0.9909858107566833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857603013515472,0.0,0.0,0.0
prompt_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_51,0.928108274936676,0.9435642957687378,0.9813700318336487,0.9762094616889954,0.9836481809616089,0.920884907245636,0.9625181555747986,0.9397489428520203,0.9510454535484314,0.7171139717102051,0.0,0.9546291828155518,0.0,0.9623082876205444,0.9534366726875305,0.8451937437057495,0.9669050574302673,0.9718297123908997,0.0,0.928259015083313
prompt_63,0.940352737903595,0.0,0.988712728023529,0.9933575987815857,0.9928769469261169,0.9916521906852722,0.992454469203949,0.9933382868766785,0.9897719025611877,0.960385799407959,0.0,0.9175193309783936,0.9956784844398499,0.99751877784729,0.9837204813957214,0.9926306009292603,0.9902267456054688,0.9901604056358337,0.0,0.9465972185134888
prompt_14,0.9965025782585144,0.9957669675350189,0.9972461462020874,0.9968028664588928,0.9966818392276764,0.9948493838310242,0.9963692426681519,0.9955697357654572,0.9964647889137268,0.998021274805069,0.0,0.9966598451137543,0.9966831803321838,0.9966340661048889,0.9938652813434601,0.9912388026714325,0.9948542416095734,0.982311487197876,0.977191150188446,0.9970743358135223
prompt_69,0.9753397107124329,0.9603680968284607,0.987695574760437,0.9777302145957947,0.9839233756065369,0.9346479773521423,0.9614214897155762,0.9648790955543518,0.9649446606636047,0.9770217537879944,0.0,0.9689540266990662,0.9791187644004822,0.9620121717453003,0.9605844020843506,0.9818973541259766,0.9691658616065979,0.9718303084373474,0.0,0.9756062030792236
